compound_id,blood_frac_conc,brain_conc,brain_binding,plasma_protein_binding,kpuu,kpuu_numerator,kpuu_denominator,100nM_PgP,1uM_PgP,100nM_BCRP,1uM_PgP_qsar,100_nM_Mouse_BCRP_qsar,cassette_mrt,full_pk_mrt,qsar_mrt
SYN-0167,0.0595404,0.248946,0.0049,2.92926,0.341569,0.000725506,0.000730758,1.12016,1.5,4.942,1.1467,6.43523,1.38,2.02643,0.872646
SYN-0168,0.215642,0.126463,0.0095,7.60757,0.0459182,0.000388139,0.0112483,2.49742,7.29675,2.1337,4.77112,2.6,5.20074,3.70427,2.19983
SYN-0169,0.106592,0.250491,0.0453763,3.7417,1,0.0626167,0.00839995,0.710152,0.54117,2.578,0.674709,1.2,3.83797,3.9291,2.52389
SYN-0170,0.217783,0.6967,0.0164684,1.70445,0.401393,0.00555493,0.0136697,1.46166,4.58988,0.343346,3.53,0.643749,2.41884,4.62839,3.05
SYN-0171,0.326071,0.26032,0.004,1.16061,0.276028,0.00416495,0.0104926,1.09658,1.55692,2.8395,2.54311,4.19971,3.17092,6.52466,3.11566
SYN-0172,0.0650435,0.0808288,0.0454319,1.81371,0.340027,0.00654835,0.0109749,0.686643,0.950824,2.90177,3.09014,2.45835,1.125,2.19556,1.16
SYN-0173,0.0251231,0.093743,0.0375309,1.0997,1,0.000691653,0.00185112,0.776816,0.724903,1.12455,2.08975,2.6,2.31938,1.9361,1.53
SYN-0174,0.712667,0.621957,0.000858322,0.151401,1,0.00789228,0.000696002,3.56342,1.29854,2.323,3.17854,1.32029,3.37718,3.44283,1.60173
SYN-0175,0.663091,0.081474,0.110856,8.15164,1,0.0566525,0.0132546,2.33775,1.12274,2.16651,1.43037,0.927735,1.4659,5.33381,2.22848
SYN-0176,0.0642715,0.144036,0.00155923,0.989426,0.405399,0.000526324,0.000675268,0.551663,0.238006,1.21997,0.618255,1.1,3.3491,3.43782,3.87388
SYN-0177,1.56401,0.201025,0.0536657,0.88358,0.44406,0.00218778,0.00792997,10.8492,4.34489,13.798,4.96196,2.87297,0.354943,0.396445,0.491314
SYN-0178,6.01259,1.14141,0.0639979,13.697,1,0.0497279,0.0103007,2.69474,0.704535,8.00486,1.68,7.6,3.09678,3.3943,3.05
SYN-0179,0.388658,0.46766,0.0503,5.62707,0.110247,0.00314707,0.0237616,0.583299,0.503121,3.497,1.05,6.01995,2.74322,3.84546,4.22319
SYN-0180,7.5711,0.21095,0.0448,9.46003,0.313006,0.0072545,0.0241154,3.51967,1.5,4.09371,12.4585,6.24588,1.45974,1.1601,1.06325
SYN-0181,3.81579,0.406331,0.0453455,1.76217,0.341334,0.00785561,0.0145032,0.680155,0.819157,58.949,1.1446,12,1.29345,1.34605,1.20865
SYN-0182,0.203478,0.186427,0.00940797,2.55362,0.344285,0.0046583,0.00800983,1.20153,1.65663,0.72777,4.56833,1.1,2.52188,1.55388,2.15227
SYN-0183,1.29622,0.102366,0.0365362,2.06905,0.420721,0.00201511,0.0030367,5.24628,1.14369,3.52533,1.6967,5.36385,1.38399,1.38249,0.976816
SYN-0184,0.319676,0.185349,0.0625933,2.93745,1,0.00727566,0.00633296,0.87,1.2,0.816923,1.4534,0.9,0.734429,5.14179,1.28
SYN-0185,6.96111,1.23508,0.0474,0.188313,0.455347,0.0199618,0.0400577,8.48772,7.9064,20.2423,8.24766,10.5091,1.41779,3.18372,1.53
SYN-0186,1.24584,2.17835,0.0034242,0.167619,1,0.0226636,0.00839995,1.51053,0.7,1.5292,1.26455,2,2.75939,3.63891,1.58
SYN-0187,0.0402744,0.0572345,0.191991,15.3676,0.402472,0.00736047,0.0262597,1.23173,0.780707,1.41043,0.584299,1.2,3.7981,3.64302,2.02
SYN-0188,1.20836,0.314785,0.064257,3.51147,0.907326,0.0486626,0.0140615,1.91576,1.4,0.675,2.70385,1,2.45,2.39963,2.15
SYN-0189,3.71296,0.313026,0.0565411,1.52251,0.299944,0.0294802,0.0402872,1.5938,2.14765,11.1663,4.55884,18.042,0.582338,1.2859,0.793535
SYN-0190,6.90061,0.643334,0.0474,5.43312,0.372627,0.0492884,0.148309,4.598,2.76412,3.46524,5.3407,5.6,1.4031,0.396712,0.514279
SYN-0191,0.165435,0.103441,0.0351578,0.987182,0.358082,0.00374622,0.030349,0.803094,0.900953,1.55715,1.62297,0.863554,3.53947,5.59777,6.43
SYN-0192,0.323222,0.0374382,0.00406586,2.60206,0.0611136,0.000659629,0.0134049,3.93836,3.17231,1.45537,22.6977,3.5,2.28582,1.05259,1.46459
SYN-0193,0.714125,0.0577468,0.0605576,10.6495,0.104235,0.000228324,0.00365056,9.85975,9.95697,7.89387,31.3502,6.16649,1.83858,1.30857,1.31782
SYN-0194,1.63704,2.32246,0.0075617,2.59489,0.654373,0.00654835,0.00531944,1.02485,0.95,3.62,1.0509,2.1,1.52377,2.26127,2.18729
SYN-0195,0.0409667,0.0141972,0.0471615,11.141,1,0.00251022,0.000779021,2.3685,1.5,1.075,3.02809,3.5,1.33324,2.06994,1.39338
SYN-0196,0.204056,0.648747,0.0171624,3.027,1,0.00493099,0.000730048,0.963105,0.675684,0.968177,3.53966,0.996999,6.14934,4.97845,8.33478
SYN-0197,0.0194578,0.0154676,0.0174,33.7842,0.131894,0.00029874,0.00169445,6.888,2.73684,0.675,5.61,1.1,6.45741,6.3214,5.43834
SYN-0198,2.22734,0.237945,0.0512201,19.098,0.0162233,0.00374622,0.147168,13.4743,7.90129,0.569,9.90252,0.729053,0.883655,0.509573,0.816419
SYN-0199,1.74068,0.129074,0.0253139,4.41023,0.18063,0.00595724,0.0309164,2.21816,2.01655,2.42441,3.64183,18,2.445,3.4838,2.4758
SYN-0200,0.903047,0.261602,0.0369665,1.3674,0.208543,0.0102562,0.069737,0.712967,0.685563,6.74612,0.79438,8.84944,1.49404,3.49279,1.56
SYN-0201,0.746747,0.804936,0.053753,9.31923,0.280636,0.021501,0.115708,2.27974,1.29916,1.24135,3.65824,1.30957,2.94926,4.61671,2.46
SYN-0202,0.260778,0.105056,0.101441,33.4668,1,0.0057659,0.000776654,2.61,1.9495,0.664291,13.1423,1.1,1.3756,0.9062,1.54
SYN-0203,1.2964,0.0730243,0.0463558,1.29568,0.639771,0.00841387,0.00260637,2.12807,1.89832,1.40606,3.37764,1.2,0.779528,0.436963,1.07781
SYN-0204,0.734277,0.3679,0.0432928,1.54471,0.325565,0.00339154,0.0429755,7.79253,12.7528,8.28855,6.15897,30.4586,0.877296,2.32819,0.668854
SYN-0205,0.135989,0.106145,0.0190438,3.95642,0.0398642,0.000313326,0.0241154,1.13254,0.823159,0.874672,2.11322,1.2,1.92231,1.81035,1.45906
SYN-0206,0.755642,0.146521,0.0621,0.750912,1,0.0456366,0.0429832,2.364,1.9,2.063,1.78081,2.2,0.197698,0.318647,0.333284
SYN-0207,0.155406,0.252059,0.00601556,2.57362,1,0.0168284,0.00352328,2.937,1.41848,4.87801,3.68662,18,2.30341,1.38581,1.28439
SYN-0208,0.571728,0.221958,0.0276673,1.29029,1,0.00596603,0.00191992,0.559069,0.610807,1.07276,0.916488,1.1,3.68095,3.14998,3.57212
SYN-0209,0.264928,0.136743,0.002,2.9315,0.118266,0.000863065,0.00839995,2.50925,1.99848,3.497,7.58712,1.1,2.48324,1.93732,3.63849
SYN-0210,0.223385,0.277663,0.0274287,5.55709,0.834824,0.0626167,0.0450548,2.289,1.42372,38.0649,1.15246,13.3362,1.00965,1.93941,2.19605
SYN-0211,0.153291,1.14141,0.000448978,0.726586,0.380056,0.000855342,0.00191992,0.610777,0.553824,6.43624,3.17545,7.59698,3.77798,2.85669,2.95374
SYN-0212,6.92175,0.1065,0.209142,0.512363,0.745638,0.0219046,0.028362,1.78145,0.800142,0.662738,0.751163,0.42334,0.754272,1.55126,1.21499
SYN-0213,0.31497,0.238202,0.0149133,17.5574,0.184663,0.00596603,0.0281667,9.15896,3.83838,0.7895,3.91597,1.88746,3.29968,3.49168,1.88
SYN-0214,1.21971,0.313175,0.00438538,8.24531,0.346871,0.010146,0.0264944,1.6384,1.67672,15.8317,1.3499,4.5,4.13198,4.39996,6.6666
SYN-0215,0.0494975,0.0156149,0.00507911,0.149191,0.396217,0.000209636,0.000734778,1.03328,0.69458,0.951996,1.45442,1.3,2.31403,1.55393,2.55081
SYN-0216,0.0564161,0.120184,0.0111407,11.1985,0.770237,0.0118557,0.00960589,1.33808,1.65231,7.87936,3.01173,4.86917,6.27462,3.45216,2.85419
SYN-0217,1.38551,0.137293,0.013892,0.0976089,0.605276,0.000881986,0.00191992,16.5789,2.7183,2.5789,5.86144,1.71014,1.68307,3.4264,3.63024
SYN-0218,2.61592,0.659442,0.0639741,14.5712,0.159743,0.0565613,0.1782,1.13648,1.0678,0.849367,4.60858,1.4,6.82265,5.72948,4.16286
SYN-0219,2.94054,1.12291,0.0398397,14.4824,0.0897795,0.0200401,0.147922,8.94475,2.63035,3.52533,5.05277,2.3,3.24739,2.81014,3.54375
SYN-0220,0.537641,1.12262,0.00225859,0.233175,1,0.00825278,0.00643852,0.671211,0.58859,14.162,0.660674,7.2,1.385,1.55,1.52434
